1320001|01320|R|4599100|516900|259 ROUTE DE MEXIMIEUX|CHALAMONT
1320002|01320|R|4599800|517700|Lieu dit lePetit Étang|Chalamont
1320003|01320|R|4599849.6609243|517434.68850728|Lieu dit Le Petit Etang|Chalamont
1320004|01320|R|4599855.2680838|517427.58060087|LD LE PETIT ETANG|CHALAMONT
1330001|01330|R|4599868|489864|245, Route du 3 Septembre 1944|Ambérieux-en-Dombes
1330002|01330|R|4600700|503500|zac de la tuilerie|VILLARS-LES-DOMBES
1330003|01330|R|4599900|489900|245 ROUTE DU 3 SEPTEMBRE 1944|Amberieux-en-Dombes
1340002|01340|R|4632300|513700|1699 ROUTE DE BOURG|Malafretaz
1340003|01340|R|4634600|512600|Les Cézilles|Jayat
1340004|01340|R|4627900|516500|771 Route de Bourg|ATTIGNAT
1340005|01340|R|4633472.64|512600.21|103 RUE DES LUYERS|Montrevel-en-Bresse
1350001|01350|R|4584800|578500|Avenue Jean Falconnier|CULOZ
1350003|01350|R|4584829.0858556|577006.40752309|PARC D'ACTIVITE DES FOURS|Béon
1350004|01350|R|4584733.2623162|578691.58896959|450 AVENUE JEAN FALCONNIER|Culoz
1360002|01360|R|4584900|512000|316 Route de Lyon|BALAN
1360003|01360|R|4583323.6|509681.94|316 route de lyon|Balan
1370001|01370|R|4628100|528900|395 route de Bourg|SAINT-ÉTIENNE-DU-BOIS
1370003|01370|R|4627000|529300|40 Chemin de la Bergaderie|Saint-Étienne-du-Bois
1380001|01380|R|4631300|494200|1 Route du Bourg|Bâgé-la-Ville
1390001|01390|R|4592700|495800|70 Allées des Marronniers|Saint-André-de-Corcy
1390002|01390|R|4592800|498800|Z.I. DE SURE|Saint-André-de-Corcy
1390004|01390|A|4588646.7569919|489470.78423309|AIRE DE MIONNAY OUEST GALMIER A46|MIONNAY
1390006|01390|A|4589632.2355835|493223.09072943|Aire de Mionnay Est Chatanay|Mionnay
1390008|01390|A|4588588|489373|AIRE DE MIONNAY OUEST SAINT GALMIER|MIONNAY
1390009|01390|A|4588900|489400|AIRE DE MIONNAY EST CHATANAYAUTOROUTE A 46|MIONNAY
1390010|01390|R|4593200|495800|ZI DE LA SURE|St André de Corcy
1390011|01390|A|4588550.5980051|489362.17878982|AIRE DE MIONNAY OUEST|MIONNAY
1400001|01400|R|4611900|496100|AVENUE MARECHAL FOCH|CHATILLON-SUR-CHALARONNE
1400003|01400|R|4611634.99194|494863.274963|AVENUE PIERRE MARCAULT|Châtillon-sur-Chalaronne
1400005|01400|R|4611765|496036|ROUTE DE MARLIEUX|Châtillon-sur-Chalaronne
1400006|01400|R|4611700|495000|AVENUE PIERRE MARCAULT|Châtillon-sur-Chalaronne
1410001|01410|R|4622300|586800|PLACE DE LA MAIRIE|CHEZERY-FORENS
1430001|01430|A|4612370|549956|AUTOROUTE A 40 - SENS PARIS PROV|CEIGNES
1430003|01430|A|4611809.562494|549110.62795291|AIRE DE CEIGNES HAUT BUGEY|CEIGNES
1430004|01430|R|4612800|554000|2 Rue de l'Égalité|Maillat
1430005|01430|A|4612370|549956|AUTOROUTE A40 - AIRE DE CEIGNES CERDON|CEIGNES
1440001|01440|R|4623800|522800|1029 ROUTE DE MARBOZ-LOUHANS|VIRIAT
1440002|01440|R|4623600|526300|531 Route de Strasbourg|VIRIAT
1440003|01440|R|4621700|521300|261 Route de Paris|Viriat
1460001|01460|R|4617225|557729|68 Rue du Jura|MONTREAL-LA-CLUSE
1460002|01460|R|4618700|552600|18 Route du Berthiand|Nurieux-Volognat
1460003|01460|R|4616600|557100|Rue de l'industrie|Port
1470001|01470|R|4579510|546083|LES GRANGES DE MONTAGNIEU|Montagnieu
1470002|01470|R|4578776|545414| Rue des Verchères|BRIORD
1480001|01480|R|4598403|475694| Rue Édouard Herriot|JASSANS-RIOTTIER
1480004|01480|R|4604981.7093241|476551.06176786|850 RD 933|Messimy-sur-Saône
1500001|01500|R|4596243.9754254|535907.07856714|Rue Alexandre Bérard|Ambérieu-en-Bugey
1500003|01500|R|4597600|530900|550, Avenue Jean Mermoz|CHâTEAU-GAILLARD
1500004|01500|R|4595700|533285|15 Avenue de la Libération|AMBéRIEU-EN-BUGEY
1500006|01500|R|4597592|530925|550, RUE JEAN MERMOZ|CHâTEAU-GAILLARD
1500007|01500|R|4597200|533800|CENTRE COMMERCIAL DE L'AVIATIONRAIS|Ambérieu-en-Bugey
1500008|01500|R|4594000|537700|Avenue Jules Pellaudin, station service total|AMBERIEU-EN-BUGEY
1510002|01510|R|4584755|565428|Chef Lieu|Virieu-le-Grand
1510003|01510|R|4587300|569800|1 rue des champs "les terrasses"|Artemare
1540001|01540|R|4619800|499400|184 rue du 19 mars 1962|VONNAS
